;race_idx;race_name;ALB;ALO;BAR;BUT;COU;FIS;FRI;HEI;KAR;KLI;MAS;MTR;MON;RAI;SAT;MSC;RSC;TRU;VIL;WEB
0;1;AUS;17;13;11;8;5;1;16;7;12;6;20;14;9;10;19;18;15;2;4;3
1;2;MYS;20;1;12;9;8;3;19;10;17;7;14;18;11;6;-;13;5;2;16;4
2;3;BHR;19;1;15;11;14;10;20;4;18;7;12;17;-;9;13;2;6;3;16;5
3;4;SMR;20;2;10;3;15;13;19;9;17;-;8;18;-;1;6;14;11;5;12;4
4;5;ESP;15;3;18;-;9;6;16;17;13;-;10;14;7;1;-;8;4;5;12;2
5;6;MCO;14;2;10;-;7;4;13;6;16;-;11;15;17;1;-;8;18;5;9;3
6;7;EUR;20;6;7;13;12;9;18;1;19;-;11;17;5;2;16;10;8;4;15;3
7;8;CAN;15;3;20;1;12;4;19;13;17;16;11;18;5;7;6;2;10;9;8;14
8;9;USA;18;6;8;3;16;4;20;15;19;14;10;17;11;2;8;5;-;1;12;9
9;10;FRA;20;1;6;8;15;7;18;14;17;16;10;19;9;3;5;4;12;2;11;13
10;11;GBR;18;1;6;3;13;7;19;14;17;15;16;20;4;2;8;10;9;5;11;12
11;12;DEU;16;3;15;2;11;4;-;7;19;10;13;18;20;1;8;5;12;9;14;6
12;13;HUN;17;6;7;8;13;9;-;12;18;11;14;20;2;4;10;1;5;3;15;16
13;14;TUR;16;3;11;13;12;2;-;6;19;10;8;15;4;1;14;20;9;5;17;7
14;15;ITA;20;3;8;4;11;9;-;-;19;13;15;17;2;1;5;7;10;6;12;14
15;16;BEL;18;5;13;9;12;3;-;-;20;16;8;19;1;2;11;7;6;4;14;10
16;17;BRA;18;1;10;4;16;3;-;-;17;6;9;13;2;5;19;7;11;8;12;14
17;18;JPN;13;16;9;2;6;3;-;-;11;4;10;20;18;17;5;14;1;19;8;7
18;19;CHN;18;1;8;4;7;2;-;-;15;14;11;19;5;3;17;6;9;12;16;10
